date,date,open,close,high,low,volume
2016-08-08,2016-08-08,0.995,1.004,1.006,0.988,1534921
2016-08-09,2016-08-09,1.002,1.012,1.016,1.002,456561
2016-08-10,2016-08-10,1.013,1.01,1.021,1.008,295434
2016-08-11,2016-08-11,1.01,1.014,1.029,1.009,370196
2016-08-12,2016-08-12,1.013,1.037,1.041,1.009,364990
2016-08-15,2016-08-15,1.044,1.097,1.132,1.04,1084278
2016-08-16,2016-08-16,1.1,1.086,1.102,1.084,620838
2016-08-17,2016-08-17,1.095,1.08,1.106,1.072,402602
2016-08-18,2016-08-18,1.071,1.068,1.085,1.062,455972
2016-08-19,2016-08-19,1.068,1.068,1.073,1.06,363013
2016-08-22,2016-08-22,1.071,1.045,1.071,1.044,346058
2016-08-23,2016-08-23,1.048,1.056,1.062,1.044,244776
2016-08-24,2016-08-24,1.058,1.049,1.06,1.045,197640
2016-08-25,2016-08-25,1.045,1.054,1.058,1.038,246333
2016-08-26,2016-08-26,1.051,1.048,1.057,1.046,178018
2016-08-29,2016-08-29,1.048,1.049,1.053,1.042,122601
2016-08-30,2016-08-30,1.05,1.054,1.062,1.047,233843
2016-08-31,2016-08-31,1.051,1.061,1.067,1.05,272966
2016-09-01,2016-09-01,1.06,1.044,1.06,1.044,250670
2016-09-02,2016-09-02,1.041,1.051,1.063,1.039,233982
2016-09-05,2016-09-05,1.05,1.054,1.067,1.05,384310
2016-09-06,2016-09-06,1.053,1.057,1.06,1.04,257491
2016-09-07,2016-09-07,1.057,1.056,1.064,1.053,210277
2016-09-08,2016-09-08,1.055,1.054,1.057,1.05,149731
2016-09-09,2016-09-09,1.053,1.049,1.059,1.048,284091
2016-09-12,2016-09-12,1.04,1.023,1.04,1.011,425783
2016-09-13,2016-09-13,1.021,1.02,1.026,1.015,149432
2016-09-14,2016-09-14,1.015,1.012,1.018,1.009,131022
2016-09-19,2016-09-19,1.012,1.015,1.018,1.012,107621
2016-09-20,2016-09-20,1.015,1.013,1.016,1.01,232599
2016-09-21,2016-09-21,1.012,1.02,1.027,1.012,388031
2016-09-22,2016-09-22,1.026,1.02,1.029,1.02,153860
2016-09-23,2016-09-23,1.02,1.016,1.023,1.015,147650
2016-09-26,2016-09-26,1.016,0.998,1.016,0.996,209831
2016-09-27,2016-09-27,0.997,1.008,1.008,0.996,193714
2016-09-28,2016-09-28,1.006,1.002,1.008,1.002,69188
2016-09-29,2016-09-29,1.004,1.016,1.025,1.004,150850
2016-09-30,2016-09-30,1.014,1.017,1.018,1.012,120540
2016-10-10,2016-10-10,1.02,1.03,1.032,1.019,215974
2016-10-11,2016-10-11,1.029,1.032,1.035,1.027,140532
2016-10-12,2016-10-12,1.03,1.029,1.034,1.025,156806
2016-10-13,2016-10-13,1.027,1.03,1.034,1.026,134655
2016-10-14,2016-10-14,1.03,1.03,1.032,1.021,158345
2016-10-17,2016-10-17,1.03,1.013,1.032,1.013,141660
2016-10-18,2016-10-18,1.013,1.036,1.042,1.013,274494
2016-10-19,2016-10-19,1.037,1.032,1.039,1.03,146333
2016-10-20,2016-10-20,1.032,1.031,1.035,1.028,149642
2016-10-21,2016-10-21,1.029,1.035,1.047,1.028,214806
2016-10-24,2016-10-24,1.035,1.061,1.078,1.035,474011
2016-10-25,2016-10-25,1.06,1.054,1.06,1.05,100306
2016-10-26,2016-10-26,1.055,1.051,1.063,1.049,142519
2016-10-27,2016-10-27,1.049,1.053,1.054,1.047,198312
2016-10-28,2016-10-28,1.056,1.06,1.09,1.056,245297
2016-10-31,2016-10-31,1.055,1.06,1.065,1.042,168113
2016-11-01,2016-11-01,1.058,1.07,1.074,1.058,272603
2016-11-02,2016-11-02,1.067,1.064,1.083,1.063,180217
2016-11-03,2016-11-03,1.06,1.089,1.109,1.06,811833
2016-11-04,2016-11-04,1.088,1.083,1.098,1.08,162807
2016-11-07,2016-11-07,1.085,1.089,1.094,1.084,84555
2016-11-08,2016-11-08,1.095,1.091,1.106,1.089,145959
2016-11-09,2016-11-09,1.093,1.078,1.093,1.067,235870
2016-11-10,2016-11-10,1.09,1.095,1.105,1.087,302675
2016-11-11,2016-11-11,1.098,1.133,1.143,1.095,565214
2016-11-14,2016-11-14,1.13,1.142,1.17,1.124,691248
2016-11-15,2016-11-15,1.141,1.132,1.148,1.127,168901
2016-11-16,2016-11-16,1.138,1.14,1.142,1.126,276711
2016-11-17,2016-11-17,1.135,1.136,1.141,1.124,280577
2016-11-18,2016-11-18,1.13,1.119,1.133,1.114,291090
2016-11-21,2016-11-21,1.113,1.119,1.134,1.112,314639
2016-11-22,2016-11-22,1.124,1.135,1.141,1.124,227122
2016-11-23,2016-11-23,1.137,1.126,1.143,1.122,163244
2016-11-24,2016-11-24,1.124,1.137,1.153,1.123,356817
2016-11-25,2016-11-25,1.134,1.141,1.145,1.117,555848
2016-11-28,2016-11-28,1.156,1.136,1.156,1.135,267601
2016-11-29,2016-11-29,1.134,1.139,1.153,1.122,400981
2016-11-30,2016-11-30,1.136,1.13,1.151,1.126,213783
2016-12-01,2016-12-01,1.128,1.141,1.145,1.128,192925
2016-12-02,2016-12-02,1.141,1.119,1.143,1.116,238813
2016-12-05,2016-12-05,1.109,1.083,1.113,1.08,255321
2016-12-06,2016-12-06,1.082,1.082,1.089,1.079,160210
2016-12-07,2016-12-07,1.082,1.089,1.089,1.079,149150
2016-12-08,2016-12-08,1.091,1.078,1.091,1.077,144026
2016-12-09,2016-12-09,1.077,1.082,1.09,1.075,163324
2016-12-12,2016-12-12,1.079,1.051,1.083,1.045,241732
2016-12-13,2016-12-13,1.048,1.053,1.058,1.044,140254
2016-12-14,2016-12-14,1.055,1.041,1.055,1.04,117752
2016-12-15,2016-12-15,1.042,1.037,1.047,1.032,151611
2016-12-16,2016-12-16,1.038,1.037,1.043,1.034,119955
2016-12-19,2016-12-19,1.037,1.028,1.037,1.027,102604
2016-12-20,2016-12-20,1.028,1.03,1.033,1.023,120575
2016-12-21,2016-12-21,1.034,1.037,1.044,1.033,113840
2016-12-22,2016-12-22,1.038,1.032,1.038,1.029,102573
2016-12-23,2016-12-23,1.032,1.022,1.032,1.02,118117
2016-12-26,2016-12-26,1.021,1.033,1.035,1.011,125613
2016-12-27,2016-12-27,1.03,1.027,1.035,1.025,49606
2016-12-28,2016-12-28,1.027,1.025,1.031,1.022,87829
2016-12-29,2016-12-29,1.025,1.024,1.03,1.022,114539
2016-12-30,2016-12-30,1.027,1.027,1.03,1.02,111122
2017-01-03,2017-01-03,1.028,1.04,1.043,1.028,88040
2017-01-04,2017-01-04,1.038,1.044,1.045,1.036,90184
2017-01-05,2017-01-05,1.045,1.04,1.045,1.039,98414
2017-01-06,2017-01-06,1.042,1.03,1.042,1.028,95376
2017-01-09,2017-01-09,1.028,1.031,1.035,1.027,98049
2017-01-10,2017-01-10,1.032,1.033,1.039,1.03,90927
2017-01-11,2017-01-11,1.033,1.031,1.04,1.03,91328
2017-01-12,2017-01-12,1.028,1.032,1.039,1.027,104075
2017-01-13,2017-01-13,1.031,1.035,1.04,1.024,95143
2017-01-16,2017-01-16,1.03,1.031,1.037,1.011,173771
2017-01-17,2017-01-17,1.027,1.027,1.029,1.016,78694
2017-01-18,2017-01-18,1.026,1.026,1.033,1.023,132017
2017-01-19,2017-01-19,1.026,1.03,1.036,1.023,89869
2017-01-20,2017-01-20,1.03,1.039,1.04,1.028,120428
2017-01-23,2017-01-23,1.037,1.038,1.047,1.035,64280
2017-01-24,2017-01-24,1.04,1.033,1.04,1.033,52936
2017-01-25,2017-01-25,1.033,1.035,1.036,1.03,35004
2017-01-26,2017-01-26,1.037,1.041,1.042,1.036,38974
2017-02-03,2017-02-03,1.041,1.031,1.042,1.03,30593
2017-02-06,2017-02-06,1.032,1.031,1.035,1.029,82893
2017-02-07,2017-02-07,1.031,1.026,1.032,1.023,82962
2017-02-08,2017-02-08,1.027,1.045,1.048,1.02,222906
2017-02-09,2017-02-09,1.042,1.044,1.052,1.041,101423
2017-02-10,2017-02-10,1.046,1.05,1.057,1.042,98117
2017-02-13,2017-02-13,1.05,1.058,1.063,1.05,237116
2017-02-14,2017-02-14,1.058,1.056,1.061,1.052,173327
2017-02-15,2017-02-15,1.055,1.049,1.062,1.048,143461
2017-02-16,2017-02-16,1.048,1.059,1.062,1.045,90260
2017-02-17,2017-02-17,1.062,1.059,1.088,1.058,517259
2017-02-20,2017-02-20,1.054,1.067,1.068,1.052,123956
2017-02-21,2017-02-21,1.068,1.072,1.085,1.066,163228
2017-02-22,2017-02-22,1.074,1.069,1.074,0.965,109554
2017-02-23,2017-02-23,1.069,1.059,1.07,1.054,87051
2017-02-24,2017-02-24,1.058,1.063,1.065,1.056,64572
2017-02-27,2017-02-27,1.062,1.052,1.062,1.05,81964
2017-02-28,2017-02-28,1.051,1.052,1.057,1.05,61295
2017-03-01,2017-03-01,1.052,1.052,1.06,1.051,40197
2017-03-02,2017-03-02,1.055,1.051,1.067,1.05,68896
2017-03-03,2017-03-03,1.048,1.042,1.049,1.04,120938
2017-03-06,2017-03-06,1.042,1.051,1.051,1.04,84050
2017-03-07,2017-03-07,1.051,1.05,1.052,1.046,36001
2017-03-08,2017-03-08,1.051,1.047,1.054,1.045,58045
2017-03-09,2017-03-09,1.045,1.043,1.046,1.037,154249
2017-03-10,2017-03-10,1.042,1.039,1.045,1.038,23609
2017-03-13,2017-03-13,1.036,1.042,1.043,1.031,104247
2017-03-14,2017-03-14,1.042,1.041,1.047,1.039,115069
2017-03-15,2017-03-15,1.042,1.042,1.045,1.039,90025
2017-03-16,2017-03-16,1.044,1.063,1.063,1.041,185414
2017-03-17,2017-03-17,1.062,1.044,1.066,1.043,116514
2017-03-20,2017-03-20,1.043,1.037,1.047,1.033,97968
2017-03-21,2017-03-21,1.039,1.032,1.039,1.03,82946
2017-03-22,2017-03-22,1.029,1.017,1.03,1.016,189289
2017-03-23,2017-03-23,1.017,1.02,1.027,1.017,218948
2017-03-24,2017-03-24,1.02,1.035,1.04,1.018,162673
2017-03-27,2017-03-27,1.032,1.033,1.041,1.03,119767
2017-03-28,2017-03-28,1.032,1.028,1.033,1.026,72565
2017-03-29,2017-03-29,1.029,1.019,1.029,1.017,102083
2017-03-30,2017-03-30,1.02,1.016,1.023,1.013,117148
2017-03-31,2017-03-31,1.015,1.016,1.018,1.012,58994
2017-04-05,2017-04-05,1.018,1.031,1.032,1.016,113481
2017-04-06,2017-04-06,1.031,1.03,1.033,1.027,70281
2017-04-07,2017-04-07,1.03,1.033,1.035,1.027,66451
