date,date,open,close,high,low,volume
2019-08-16,2019-08-16,3.685,3.698,3.72,3.677,2764594
2019-08-19,2019-08-19,3.72,3.779,3.779,3.709,1494287
2019-08-20,2019-08-20,3.761,3.771,3.79,3.761,568921
2019-08-21,2019-08-21,3.766,3.77,3.78,3.763,741865
2019-08-22,2019-08-22,3.771,3.778,3.784,3.761,506288
2019-08-23,2019-08-23,3.776,3.803,3.821,3.775,338992
2019-08-26,2019-08-26,3.789,3.762,3.789,3.746,147281
2019-08-27,2019-08-27,3.761,3.804,3.842,3.761,321487
2019-08-28,2019-08-28,3.798,3.79,3.813,3.786,146181
2019-08-29,2019-08-29,3.798,3.78,3.798,3.761,239234
2019-08-30,2019-08-30,3.779,3.791,3.826,3.77,735667
2019-09-02,2019-09-02,3.781,3.83,3.84,3.781,2692474
2019-09-03,2019-09-03,3.828,3.835,3.84,3.818,1272207
2019-09-04,2019-09-04,3.83,3.878,3.879,3.83,500853
2019-09-05,2019-09-05,3.875,3.912,3.964,3.875,462657
2019-09-06,2019-09-06,3.906,3.936,3.94,3.906,291661
2019-09-09,2019-09-09,3.944,3.955,3.965,3.942,392238
2019-09-10,2019-09-10,3.945,3.947,3.962,3.928,236703
2019-09-11,2019-09-11,3.943,3.919,3.959,3.917,247952
2019-09-12,2019-09-12,3.909,3.954,3.965,3.909,230173
2019-09-16,2019-09-16,3.954,3.946,3.96,3.93,266089
2019-09-17,2019-09-17,3.936,3.879,3.937,3.865,325927
2019-09-18,2019-09-18,3.876,3.893,3.907,3.876,231285
2019-09-19,2019-09-19,3.893,3.91,3.91,3.883,216833
2019-09-20,2019-09-20,3.911,3.919,3.926,3.909,253040
2019-09-23,2019-09-23,3.916,3.886,3.916,3.865,296450
2019-09-24,2019-09-24,3.876,3.885,3.92,3.876,222982
2019-09-25,2019-09-25,3.875,3.861,3.882,3.86,203155
2019-09-26,2019-09-26,3.861,3.829,3.884,3.829,236398
2019-09-27,2019-09-27,3.834,3.844,3.846,3.826,273559
2019-09-30,2019-09-30,3.835,3.797,3.846,3.791,312947
2019-10-08,2019-10-08,3.797,3.822,3.846,3.797,281493
2019-10-09,2019-10-09,3.806,3.835,3.835,3.794,280132
2019-10-10,2019-10-10,3.825,3.857,3.867,3.816,251642
2019-10-11,2019-10-11,3.857,3.904,3.915,3.855,340240
2019-10-14,2019-10-14,3.904,3.935,3.972,3.904,308321
2019-10-15,2019-10-15,3.915,3.929,3.935,3.915,224607
2019-10-16,2019-10-16,3.929,3.908,3.954,3.905,273380
2019-10-17,2019-10-17,3.908,3.911,3.922,3.9,248993
2019-10-18,2019-10-18,3.927,3.866,3.933,3.855,408460
2019-10-21,2019-10-21,3.866,3.865,3.871,3.846,219687
2019-10-22,2019-10-22,3.896,3.892,3.901,3.855,279207
2019-10-23,2019-10-23,3.882,3.859,3.888,3.853,229928
2019-10-24,2019-10-24,3.85,3.866,3.882,3.844,224710
2019-10-25,2019-10-25,3.859,3.887,3.89,3.837,268646
2019-10-28,2019-10-28,3.892,3.906,3.919,3.888,262836
