date,date,open,high,low,close,volume
2013-06-06,2013-06-06,3353.536,3367.362,3325.742,3331.724,697669056
2013-06-07,2013-06-07,3325.795,3338.029,3264.914,3276.253,797594112
2013-06-13,2013-06-13,3227.157,3227.157,3138.502,3170.727,921407296
2013-06-14,2013-06-14,3168.941,3190.161,3157.245,3184.553,729098624
2013-06-17,2013-06-17,3189.969,3196.282,3153.118,3158.014,751403840
2013-06-18,2013-06-18,3163.765,3178.108,3134.844,3171.859,642563456
2013-06-19,2013-06-19,3166.782,3170.007,3122.054,3169.483,682488896
2013-06-20,2013-06-20,3156.032,3159.372,3079.308,3081.075,789599680
2013-06-21,2013-06-21,3035.553,3093.993,3014.229,3078.509,866669056
2013-06-24,2013-06-24,3067.597,3067.597,2915.806,2932.166,1228670464
2013-06-25,2013-06-25,2902.33,2945.808,2767.233,2938.574,1358561792
2013-06-26,2013-06-26,2951.596,2975.094,2919.685,2965.672,1029648192
2013-06-27,2013-06-27,2976.212,3013.988,2950.309,2954.22,992488384
2013-06-28,2013-06-28,2941.608,3032.612,2929.353,2989.58,1106371584
2013-07-01,2013-07-01,2975.985,3012.127,2950.924,3011.918,862040256
2013-07-02,2013-07-02,3006.771,3039.291,2993.704,3033.851,856722368
2013-07-03,2013-07-03,3032.551,3041.279,2984.414,3030.868,840492992
2013-07-04,2013-07-04,3018.022,3103.644,3008.144,3071.784,1053724288
2013-07-05,2013-07-05,3080.884,3113.838,3078.446,3079.023,886530624
2013-07-08,2013-07-08,3036.11,3050.404,2989.702,2998.241,726866688
2013-07-09,2013-07-09,2996.407,3015.052,2975.326,3000.409,626584832
2013-07-10,2013-07-10,2998.476,3076.092,2993.669,3075.134,852393024
2013-07-11,2013-07-11,3068.632,3199.845,3065.769,3166.257,1781132800
2013-07-12,2013-07-12,3153.111,3170.999,3105.912,3107.428,1168846336
2013-07-15,2013-07-15,3122.432,3168.817,3109.939,3144.753,1010329280
2013-07-16,2013-07-16,3140.639,3166.635,3123.949,3165.137,929135488
2013-07-17,2013-07-17,3162.568,3175.76,3117.69,3121.702,983825792
2013-07-18,2013-07-18,3110.713,3122.993,3073.399,3088.946,829075328
2013-07-19,2013-07-19,3091.207,3098.732,3008.711,3008.89,1290574208
2013-07-22,2013-07-22,2990.248,3034.766,2976.78,3032.115,858395584
2013-07-23,2013-07-23,3045.498,3131.521,3038.599,3124.242,1215913728
2013-07-24,2013-07-24,3112.22,3136.807,3072.665,3113.197,1185358848
2013-07-25,2013-07-25,3120.402,3132.31,3068.553,3088.015,995144384
2013-07-26,2013-07-26,3070.101,3093.443,3048.638,3073.744,781409024
2013-07-29,2013-07-29,3048.762,3048.762,2994.901,3004.241,819534848
2013-07-30,2013-07-30,3014.69,3057.278,2983.51,3018.141,757243072
2013-07-31,2013-07-31,3048.151,3087.066,3021.5,3030.856,776381568
2013-08-01,2013-08-01,3048.254,3108.467,3044.111,3103.964,825309888
2013-08-02,2013-08-02,3129.247,3151.077,3117.124,3120.132,890045632
2013-08-05,2013-08-05,3122.194,3159.34,3119.819,3158.463,812612544
2013-08-06,2013-08-06,3150.319,3212.481,3137.85,3200.276,1223110912
2013-08-07,2013-08-07,3202.856,3226.547,3172.627,3176.872,1204431616
2013-08-08,2013-08-08,3180.341,3209.453,3173.003,3189.749,975566336
2013-08-09,2013-08-09,3205.167,3232.814,3167.792,3202.52,1115701504
2013-08-12,2013-08-12,3221.945,3283.16,3221.808,3282.737,1404028032
2013-08-13,2013-08-13,3280.683,3291.646,3262.636,3291.521,997077184
2013-08-14,2013-08-14,3298.937,3329.817,3272.517,3286.181,1082676736
2013-08-15,2013-08-15,3283.8,3298.109,3243.4,3245.295,818538944
2013-08-16,2013-08-16,3235.921,3330.971,3194.88,3196.56,1519086208
2013-08-19,2013-08-19,3191.404,3268.68,3190.59,3260.993,928882624
2013-08-20,2013-08-20,3254.924,3285.057,3222.393,3235.312,1016913152
2013-08-21,2013-08-21,3249.715,3251.852,3215.074,3239.979,962427904
2013-08-22,2013-08-22,3234.572,3269.67,3228.795,3246.816,797671552
2013-08-23,2013-08-23,3265.942,3272.734,3185.221,3235.044,1252087168
2013-08-26,2013-08-26,3243.315,3301.087,3236.068,3299.88,1220070272
2013-08-27,2013-08-27,3297.929,3307.666,3279.619,3305.114,1195288960
2013-08-28,2013-08-28,3289.201,3318.345,3264.266,3294.549,1366468736
2013-08-29,2013-08-29,3302.001,3307.259,3264.883,3278.737,1018228800
2013-08-30,2013-08-30,3280.203,3305.501,3252.638,3268.026,1221161344
2013-09-02,2013-09-02,3269.651,3290.315,3244.514,3283.416,1803023360
2013-09-03,2013-09-03,3283.667,3315.838,3278.956,3314.926,1437016832
2013-09-04,2013-09-04,3307.718,3324.345,3299.895,3312.748,1345282816
2013-09-05,2013-09-05,3313.832,3313.832,3290.611,3300.095,1412067072
2013-09-06,2013-09-06,3295.836,3324.626,3293.24,3320.772,1423895424
2013-09-09,2013-09-09,3340.234,3406.025,3334.969,3399.148,2525060352
2013-09-10,2013-09-10,3404.88,3439.899,3401.772,3439.126,2397754624
2013-09-11,2013-09-11,3438.907,3463.338,3415.585,3431.102,2356420608
2013-09-12,2013-09-12,3421.928,3455.148,3411.93,3441.669,2061141248
2013-09-13,2013-09-13,3447.253,3460.308,3437.019,3446.561,1795600256
2013-09-16,2013-09-16,3452.681,3455.989,3422.81,3430.797,1683543168
2013-09-17,2013-09-17,3432.178,3432.233,3375.277,3375.277,1853660672
2013-09-18,2013-09-18,3369.598,3388.988,3350.405,3376.395,1427480704
2013-09-23,2013-09-23,3387.632,3464.363,3387.632,3464.026,1478064640
2013-09-24,2013-09-24,3462.267,3468.095,3420.706,3456.059,2029463296
2013-09-25,2013-09-25,3445.134,3471.666,3426.664,3435.474,1888345856
2013-09-26,2013-09-26,3419.538,3423.849,3349.732,3357.175,1492900992
2013-09-27,2013-09-27,3351.233,3377.958,3349.46,3366.996,1244416000
2013-09-30,2013-09-30,3383.242,3408.351,3383.242,3408.221,1121925632
2013-10-08,2013-10-08,3408.062,3458.534,3390.275,3446.418,1510313216
2013-10-09,2013-10-09,3438.227,3466.605,3427.409,3465.816,1321786112
2013-10-10,2013-10-10,3469.456,3486.105,3447.97,3469.643,1618932992
2013-10-11,2013-10-11,3485.294,3509.575,3473.073,3501.312,1709291392
2013-10-14,2013-10-14,3509.882,3546.673,3504.486,3526.228,1749386624
2013-10-15,2013-10-15,3528.04,3536.213,3490.028,3517.178,1538276608
2013-10-16,2013-10-16,3502.718,3507.399,3428.556,3450.563,1368255616
2013-10-17,2013-10-17,3467.165,3479.215,3418.993,3426.92,975242752
2013-10-18,2013-10-18,3436.519,3468.177,3425.623,3455.85,949642944
2013-10-21,2013-10-21,3467.654,3530.414,3462.359,3530.061,1260159104
2013-10-22,2013-10-22,3526.813,3527.497,3469.561,3475.899,1375440512
2013-10-23,2013-10-23,3480.25,3507.363,3411.205,3418.441,1552003584
2013-10-24,2013-10-24,3409.193,3441.529,3391.742,3409.563,1174457984
2013-10-25,2013-10-25,3408.011,3427.784,3315.982,3340.782,1210848896
2013-10-28,2013-10-28,3353.161,3361.278,3333.597,3349.159,892422208
2013-10-29,2013-10-29,3356.898,3389.899,3284.887,3353.419,1629984128
2013-10-30,2013-10-30,3356.461,3426.115,3346.52,3425.181,1494036608
2013-10-31,2013-10-31,3405.378,3414.871,3362.012,3369.765,1333812736
2013-11-01,2013-11-01,3368.525,3395.108,3343.445,3378.037,1161690624
2013-11-04,2013-11-04,3397.944,3409.721,3375.923,3385.823,960741632
2013-11-05,2013-11-05,3364.959,3414.397,3340.426,3414.397,1115173120
2013-11-06,2013-11-06,3399.718,3410.631,3357.654,3358.001,1077941376
2013-11-07,2013-11-07,3354.006,3357.086,3307.726,3328.804,890544512
2013-11-08,2013-11-08,3308.689,3326.121,3280.888,3293.727,871149056
2013-11-11,2013-11-11,3291.957,3321.305,3269.908,3304.719,792952192
2013-11-12,2013-11-12,3309.918,3339.684,3298.325,3331.934,799950016
2013-11-13,2013-11-13,3315.524,3318.076,3274.426,3276.897,889707008
